id,year,type,accidentType,firstAddress,secondAddress,geometry,reason,area,creationDate,daniosMateriales,falloMecanico,estadoPavimento,tipoEstadoPavimento,estadoAtmosfera,tipoEstadoAtmosfera,afectado,vehiculo
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9070,2013,COLISIÓN LATERAL,,"PAMPLONA, PASEO","PONZANO, PONCIANO","-0.8861287226608789,41.647719078348864",INVADIR otro carril en el mismo sentido de circulación,3686.0,2013-10-03T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18271
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9071,2013,CAIDA SOBRE CALZADA,,"RUIZ PICASSO, PABLO",,"-0.8966049471917191,41.67201366873311",PERDIDA del control por FALTA de ATENCIÓN,3687.0,2013-10-04T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18272
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9072,2013,ATROPELLO,,"JOTA, AVENIDA DE LA",,"-0.8606072697370861,41.661041529834186",PEATÓN cruza calz SIN PREFER. fuera de paso,3770.0,2013-10-14T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6060,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18273
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9073,2013,COLISIÓN ALCANCE,,"AMERICA, AVENIDA DE",,"-0.8852392333493442,41.63189942390994",PERDIDA del control por FALTA de ATENCIÓN,3740.0,2013-10-12T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6061,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18274
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9074,2013,CAIDA SOBRE CALZADA,,CANTANDO BAJO LA LLUVIA,,"-0.9285538563794421,41.623250937952214",PERDIDA del control por FALTA de ATENCIÓN,3692.0,2013-10-12T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6062,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18275
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9075,2013,SALIDA CALZADA,,"SIETE SAMURAIS, LOS","AMERICANO EN PARIS, UN","-0.9351194156770508,41.6241140627383",PERDIDA del control por FALTA de ATENCIÓN,3693.0,2013-10-08T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18276
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9076,2013,COLISIÓN LATERAL,,"GOMEZ AVELLANEDA, G.","PINEDA, MARIANA","-0.8867463270463205,41.66608376495089",INVADIR otro carril en el mismo sentido de circulación,3695.0,2013-10-03T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18277https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18278
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9077,2013,COLISIÓN LATERAL,,"CASPE, AV.COMPROMISO","SAN JOSE, AVENIDA DE","-0.8722336807728759,41.646188960426066",GIROS: no respetar señal ó no ceñirse a la dirección,3696.0,2013-10-09T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18279https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18280
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9079,2013,ATROPELLO,,"AMERICA, AVENIDA DE",,"-0.8852662624856505,41.6322383029052",PEATÓN cruza calz SIN PREFER. en PASO CON semáforo,3765.0,2013-10-15T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6064https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6065,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18282
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9080,2013,COLISIÓN ALCANCE,,SAN ANDRES,,"-0.8784156189539521,41.652645842456494",PERDIDA del control por FALTA de ATENCIÓN,3700.0,2013-10-01T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18283
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9081,2013,CAIDA SOBRE CALZADA,,"CONSTITUCION, PASEO",,"-0.8850814401372705,41.647055579545395",PERDIDA del control por FALTA de ATENCIÓN,3766.0,2013-10-15T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6066,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18284https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18285
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9082,2013,COLISIÓN ALCANCE,,"BERCEO, GONZALO DE",,"-0.8744929990771105,41.645746961126164",PERDIDA del control por FALTA de ATENCIÓN,3730.0,2013-10-14T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6067,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18286
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9083,2013,COLIS FRONTOLATERAL,,"SERVET, MIGUEL","TORRES, CAMINO DE LAS","-0.8730752065494224,41.64695976833578",INVADIR otro carril en sentido contrario a la circulación,3704.0,2013-10-15T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6068,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18287https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18288
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9084,2013,COLIS FRONTOLATERAL,,"MALPICA, PG. IND.",,"-0.7740155157048267,41.64913136806531","CEDA EL PASO, no respetar prioridad de paso",3764.0,2013-10-16T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6069,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18289https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18290
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9589,2013,COLISIÓN ALCANCE,,"GRACIA,LUCIANO(POETA)","BOLTAÑA, RONDA DE","-0.8899539888035157,41.68746409189256","DISTANCIA DE SEGURIDAD, no mantener",4499.0,2013-12-10T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6301,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18961
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9590,2013,COLISIÓN ALCANCE,,"EXPO 2008, AV. DE LA",,"-0.907506567454917,41.66354479698776",PERDIDA del control por FALTA de ATENCIÓN,4654.0,2013-12-11T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6302,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18962
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9591,2013,COLISIÓN ALCANCE,,"VICOR, SIERRA DE",,"-0.8945947746019713,41.66147169993817",PERDIDA del control por FALTA de ATENCIÓN,52.0,2013-12-20T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18963
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9592,2013,CAIDA SOBRE CALZADA,,SAN JUAN DE LA PEÑA,,"-0.871328089675564,41.674917481166005",OTRAS CAUSAS,4512.0,2013-12-12T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6303,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18964
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9593,2013,COLISIÓN ALCANCE,,VILLAHERMOSA(DUQUESA),"UNIVERSITAS, VIA","-0.9074837989370369,41.64659529648994",PERDIDA del control por FALTA de ATENCIÓN,4534.0,2013-12-12T00:00:00Z,False,False,BUEN ESTADO,,BUEN ESTADO,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/afectado/6304,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18965
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9594,2013,COLISIÓN ALCANCE,,"SERRANO BERGES,PL SIS",IGLESIA SIS,"-0.831312434760397,41.66746303357169",PERDIDA del control por FALTA de ATENCIÓN,4572.0,2013-12-10T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18966https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18967
https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/accidente/9595,2013,OTRAS,,"GRACIA, JESUS",,"-0.8564466849976542,41.65748545693523",OTRAS CAUSAS,4576.0,2013-12-12T00:00:00Z,True,False,BUEN ESTADO,,BUEN ESTADO,,,https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18968https://www.zaragoza.es/sede/servicio/transporte/accidentalidad-trafico/tipo-vehiculo-implicado/18969
